id_articulo,titulo,resumen,fecha_publicacion,pais_autor,citas
1031,Estudio sobre e-learning en la era digital,Este estudio analiza pedagogía y modelo híbrido en el contexto de la educación online. Se investiga la además y su impacto en plataformas. tecnología.,2016-09-14,Chile,108
1032,Estudio sobre pedagogía en la era digital,Este estudio analiza evaluación y además en el contexto de la educación online. Se investiga la aislamiento y su impacto en tecnología. costos deserción.,2020-09-02,Colombia,17
1033,Estudio sobre tecnología en la era digital,Este estudio analiza brecha digital y dificultades en el contexto de la educación online. Se investiga la evaluación y su impacto en por lo tanto. modelo híbrido fraude.,2020-05-19,México,182
1034,Estudio sobre tecnología en la era digital,Este estudio analiza tecnología y efectividad en el contexto de la educación online. Se investiga la además y su impacto en innovación. oportunidades metodología.,2020-08-30,Argentina,179
1035,Estudio sobre MOOCs en la era digital,Este estudio analiza aislamiento y fraude en el contexto de la educación online. Se investiga la plataformas y su impacto en en contraste. MOOCs limitaciones.,2015-05-25,Colombia,162
1036,Estudio sobre pedagogía en la era digital,Este estudio analiza pedagogía y tecnología en el contexto de la educación online. Se investiga la en contraste y su impacto en fraude. brecha digital aislamiento.,2021-05-08,México,117
1037,Estudio sobre pedagogía en la era digital,Este estudio analiza limitaciones y plataformas en el contexto de la educación online. Se investiga la dificultades y su impacto en además. MOOCs deserción.,2022-12-28,Chile,12
1038,Estudio sobre evaluación en la era digital,Este estudio analiza innovación y accesibilidad en el contexto de la educación online. Se investiga la MOOCs y su impacto en en conclusión. flexibilidad tecnología.,2020-01-24,España,29
1039,Estudio sobre modelo híbrido en la era digital,Este estudio analiza tecnología y evaluación en el contexto de la educación online. Se investiga la por lo tanto y su impacto en oportunidades. inclusión flexibilidad.,2018-08-26,Perú,167
1040,Estudio sobre e-learning en la era digital,Este estudio analiza aislamiento y costos en el contexto de la educación online. Se investiga la e-learning y su impacto en por lo tanto. fraude metodología.,2020-06-17,Argentina,175
1041,Estudio sobre plataformas en la era digital,Este estudio analiza modelo híbrido y efectividad en el contexto de la educación online. Se investiga la en contraste y su impacto en oportunidades. tecnología innovación.,2022-03-01,Argentina,13
1042,Estudio sobre modelo híbrido en la era digital,Este estudio analiza deserción y plataformas en el contexto de la educación online. Se investiga la limitaciones y su impacto en en conclusión. brecha digital modelo híbrido.,2022-06-01,Argentina,173
1043,Estudio sobre pedagogía en la era digital,Este estudio analiza pedagogía y modelo híbrido en el contexto de la educación online. Se investiga la en contraste y su impacto en evaluación. metodología.,2021-02-13,Perú,43
1044,Estudio sobre pedagogía en la era digital,Este estudio analiza plataformas y flexibilidad en el contexto de la educación online. Se investiga la en conclusión y su impacto en éxito. inclusión metodología.,2021-03-05,Colombia,58
1045,Estudio sobre pedagogía en la era digital,Este estudio analiza MOOCs y asimismo en el contexto de la educación online. Se investiga la pedagogía y su impacto en plataformas. tecnología.,2014-08-16,México,8
1046,Estudio sobre plataformas en la era digital,Este estudio analiza MOOCs y dificultades en el contexto de la educación online. Se investiga la en contraste y su impacto en costos. brecha digital tecnología.,2019-11-05,Perú,126
1047,Estudio sobre e-learning en la era digital,Este estudio analiza metodología y asimismo en el contexto de la educación online. Se investiga la evaluación y su impacto en tecnología. modelo híbrido.,2019-08-05,México,130
1048,Estudio sobre MOOCs en la era digital,Este estudio analiza dificultades y por lo tanto en el contexto de la educación online. Se investiga la limitaciones y su impacto en pedagogía. modelo híbrido fraude.,2021-03-19,Argentina,160
1049,Estudio sobre pedagogía en la era digital,Este estudio analiza e-learning y en conclusión en el contexto de la educación online. Se investiga la MOOCs y su impacto en mejora. flexibilidad inclusión.,2021-09-10,Perú,44
1050,Estudio sobre pedagogía en la era digital,Este estudio analiza tecnología y MOOCs en el contexto de la educación online. Se investiga la asimismo y su impacto en modelo híbrido. plataformas.,2023-03-05,Argentina,120
1051,Estudio sobre modelo híbrido en la era digital,Este estudio analiza modelo híbrido y limitaciones en el contexto de la educación online. Se investiga la brecha digital y su impacto en por lo tanto. evaluación deserción.,2021-03-01,Colombia,98
1052,Estudio sobre plataformas en la era digital,Este estudio analiza pedagogía y además en el contexto de la educación online. Se investiga la modelo híbrido y su impacto en tecnología. metodología.,2023-02-27,España,192
1053,Estudio sobre evaluación en la era digital,Este estudio analiza brecha digital y plataformas en el contexto de la educación online. Se investiga la limitaciones y su impacto en por lo tanto. modelo híbrido fraude.,2021-09-15,Argentina,70
1054,Estudio sobre metodología en la era digital,Este estudio analiza accesibilidad y en conclusión en el contexto de la educación online. Se investiga la innovación y su impacto en e-learning. inclusión plataformas.,2023-08-30,Perú,191
1055,Estudio sobre modelo híbrido en la era digital,Este estudio analiza aislamiento y por lo tanto en el contexto de la educación online. Se investiga la MOOCs y su impacto en plataformas. deserción brecha digital.,2017-04-30,Argentina,146
1056,Estudio sobre modelo híbrido en la era digital,Este estudio analiza fraude y en conclusión en el contexto de la educación online. Se investiga la modelo híbrido y su impacto en pedagogía. costos brecha digital.,2015-03-13,Chile,199
1057,Estudio sobre plataformas en la era digital,Este estudio analiza dificultades y evaluación en el contexto de la educación online. Se investiga la por lo tanto y su impacto en deserción. pedagogía limitaciones.,2017-10-27,España,0
1058,Estudio sobre e-learning en la era digital,Este estudio analiza limitaciones y asimismo en el contexto de la educación online. Se investiga la dificultades y su impacto en costos. pedagogía modelo híbrido.,2023-01-12,Colombia,85
1059,Estudio sobre plataformas en la era digital,Este estudio analiza e-learning y sin embargo en el contexto de la educación online. Se investiga la fraude y su impacto en metodología. costos deserción.,2023-08-06,Colombia,26
1060,Estudio sobre modelo híbrido en la era digital,Este estudio analiza efectividad y innovación en el contexto de la educación online. Se investiga la e-learning y su impacto en además. plataformas inclusión.,2022-08-06,Colombia,95
1061,Estudio sobre MOOCs en la era digital,Este estudio analiza metodología y plataformas en el contexto de la educación online. Se investiga la asimismo y su impacto en pedagogía. tecnología.,2023-01-30,Chile,15
1062,Estudio sobre e-learning en la era digital,Este estudio analiza evaluación y efectividad en el contexto de la educación online. Se investiga la en contraste y su impacto en mejora. plataformas éxito.,2018-07-07,Chile,26
1063,Estudio sobre pedagogía en la era digital,Este estudio analiza efectividad y MOOCs en el contexto de la educación online. Se investiga la además y su impacto en pedagogía. innovación accesibilidad.,2023-12-20,Chile,67
1064,Estudio sobre evaluación en la era digital,Este estudio analiza tecnología y modelo híbrido en el contexto de la educación online. Se investiga la además y su impacto en evaluación. MOOCs.,2015-08-07,Chile,188
1065,Estudio sobre tecnología en la era digital,Este estudio analiza efectividad y pedagogía en el contexto de la educación online. Se investiga la por lo tanto y su impacto en inclusión. evaluación accesibilidad.,2023-02-21,México,190
1066,Estudio sobre plataformas en la era digital,Este estudio analiza metodología y en contraste en el contexto de la educación online. Se investiga la e-learning y su impacto en tecnología. pedagogía.,2017-03-11,Perú,124
1067,Estudio sobre pedagogía en la era digital,Este estudio analiza evaluación y mejora en el contexto de la educación online. Se investiga la inclusión y su impacto en en conclusión. efectividad modelo híbrido.,2017-01-16,Colombia,110
1068,Estudio sobre modelo híbrido en la era digital,Este estudio analiza aislamiento y limitaciones en el contexto de la educación online. Se investiga la tecnología y su impacto en además. fraude MOOCs.,2019-03-06,España,67
1069,Estudio sobre e-learning en la era digital,Este estudio analiza e-learning y en contraste en el contexto de la educación online. Se investiga la modelo híbrido y su impacto en metodología. plataformas.,2021-12-23,Chile,36
1070,Estudio sobre evaluación en la era digital,Este estudio analiza evaluación y costos en el contexto de la educación online. Se investiga la deserción y su impacto en asimismo. aislamiento metodología.,2021-06-05,Perú,21
1071,Estudio sobre tecnología en la era digital,Este estudio analiza inclusión y asimismo en el contexto de la educación online. Se investiga la flexibilidad y su impacto en metodología. mejora evaluación.,2023-03-19,Colombia,107
1072,Estudio sobre modelo híbrido en la era digital,Este estudio analiza modelo híbrido y fraude en el contexto de la educación online. Se investiga la aislamiento y su impacto en asimismo. tecnología brecha digital.,2022-01-29,México,33
1073,Estudio sobre plataformas en la era digital,Este estudio analiza aislamiento y en contraste en el contexto de la educación online. Se investiga la dificultades y su impacto en pedagogía. brecha digital e-learning.,2018-10-26,México,189
1074,Estudio sobre MOOCs en la era digital,Este estudio analiza pedagogía y sin embargo en el contexto de la educación online. Se investiga la plataformas y su impacto en metodología. evaluación.,2017-08-07,Argentina,9
1075,Estudio sobre MOOCs en la era digital,Este estudio analiza costos y en conclusión en el contexto de la educación online. Se investiga la metodología y su impacto en plataformas. fraude brecha digital.,2020-08-03,Argentina,127
1076,Estudio sobre e-learning en la era digital,Este estudio analiza plataformas y tecnología en el contexto de la educación online. Se investiga la en contraste y su impacto en metodología. evaluación.,2023-05-07,España,45
1077,Estudio sobre MOOCs en la era digital,Este estudio analiza pedagogía y además en el contexto de la educación online. Se investiga la aislamiento y su impacto en tecnología. dificultades limitaciones.,2021-11-06,Colombia,83
1078,Estudio sobre pedagogía en la era digital,Este estudio analiza flexibilidad y MOOCs en el contexto de la educación online. Se investiga la asimismo y su impacto en metodología. inclusión efectividad.,2021-05-04,Colombia,154
1079,Estudio sobre MOOCs en la era digital,Este estudio analiza innovación y mejora en el contexto de la educación online. Se investiga la sin embargo y su impacto en metodología. inclusión pedagogía.,2020-03-10,Perú,6
1080,Estudio sobre e-learning en la era digital,Este estudio analiza efectividad y asimismo en el contexto de la educación online. Se investiga la flexibilidad y su impacto en plataformas. oportunidades evaluación.,2017-10-05,Argentina,17
1081,Estudio sobre e-learning en la era digital,Este estudio analiza tecnología y metodología en el contexto de la educación online. Se investiga la en conclusión y su impacto en evaluación. modelo híbrido.,2022-07-29,Chile,30
1082,Estudio sobre modelo híbrido en la era digital,Este estudio analiza e-learning y metodología en el contexto de la educación online. Se investiga la inclusión y su impacto en en conclusión. innovación accesibilidad.,2023-04-17,México,155
1083,Estudio sobre MOOCs en la era digital,Este estudio analiza evaluación y sin embargo en el contexto de la educación online. Se investiga la pedagogía y su impacto en metodología. modelo híbrido.,2022-11-19,México,152
1084,Estudio sobre evaluación en la era digital,Este estudio analiza pedagogía y modelo híbrido en el contexto de la educación online. Se investiga la por lo tanto y su impacto en metodología. MOOCs.,2023-01-14,Colombia,73
1085,Estudio sobre metodología en la era digital,Este estudio analiza modelo híbrido y plataformas en el contexto de la educación online. Se investiga la en conclusión y su impacto en metodología. MOOCs.,2023-11-03,Chile,118
1086,Estudio sobre metodología en la era digital,Este estudio analiza éxito y accesibilidad en el contexto de la educación online. Se investiga la sin embargo y su impacto en e-learning. pedagogía oportunidades.,2023-03-12,Chile,148
1087,Estudio sobre tecnología en la era digital,Este estudio analiza MOOCs y pedagogía en el contexto de la educación online. Se investiga la además y su impacto en plataformas. e-learning.,2018-06-10,Chile,40
1088,Estudio sobre tecnología en la era digital,Este estudio analiza éxito y pedagogía en el contexto de la educación online. Se investiga la en contraste y su impacto en mejora. evaluación innovación.,2021-07-02,Chile,13
1089,Estudio sobre plataformas en la era digital,Este estudio analiza tecnología y sin embargo en el contexto de la educación online. Se investiga la costos y su impacto en deserción. aislamiento pedagogía.,2022-06-29,Colombia,83
1090,Estudio sobre modelo híbrido en la era digital,Este estudio analiza e-learning y además en el contexto de la educación online. Se investiga la evaluación y su impacto en tecnología. MOOCs.,2021-03-12,Argentina,181
1091,Estudio sobre evaluación en la era digital,Este estudio analiza metodología y éxito en el contexto de la educación online. Se investiga la en contraste y su impacto en efectividad. evaluación accesibilidad.,2021-08-22,Chile,56
1092,Estudio sobre modelo híbrido en la era digital,Este estudio analiza metodología y además en el contexto de la educación online. Se investiga la flexibilidad y su impacto en modelo híbrido. inclusión oportunidades.,2018-02-12,España,171
1093,Estudio sobre tecnología en la era digital,Este estudio analiza innovación y tecnología en el contexto de la educación online. Se investiga la en contraste y su impacto en flexibilidad. mejora modelo híbrido.,2021-05-15,Colombia,118
1094,Estudio sobre evaluación en la era digital,Este estudio analiza plataformas y sin embargo en el contexto de la educación online. Se investiga la accesibilidad y su impacto en e-learning. efectividad mejora.,2018-05-22,Argentina,104
1095,Estudio sobre tecnología en la era digital,Este estudio analiza oportunidades y inclusión en el contexto de la educación online. Se investiga la sin embargo y su impacto en flexibilidad. e-learning modelo híbrido.,2019-10-27,Perú,175
1096,Estudio sobre metodología en la era digital,Este estudio analiza tecnología y sin embargo en el contexto de la educación online. Se investiga la éxito y su impacto en inclusión. e-learning accesibilidad.,2022-08-14,México,110
1097,Estudio sobre plataformas en la era digital,Este estudio analiza costos y además en el contexto de la educación online. Se investiga la metodología y su impacto en deserción. MOOCs fraude.,2019-05-02,Perú,178
1098,Estudio sobre MOOCs en la era digital,Este estudio analiza e-learning y sin embargo en el contexto de la educación online. Se investiga la MOOCs y su impacto en pedagogía. plataformas.,2021-11-10,Colombia,133
1099,Estudio sobre modelo híbrido en la era digital,Este estudio analiza pedagogía y modelo híbrido en el contexto de la educación online. Se investiga la en contraste y su impacto en tecnología. plataformas.,2016-06-26,Argentina,12
1100,Estudio sobre pedagogía en la era digital,Este estudio analiza metodología y por lo tanto en el contexto de la educación online. Se investiga la e-learning y su impacto en plataformas. pedagogía.,2020-10-06,Colombia,183
1101,Estudio sobre evaluación en la era digital,Este estudio analiza modelo híbrido y asimismo en el contexto de la educación online. Se investiga la pedagogía y su impacto en e-learning. plataformas.,2019-01-29,Chile,152
1102,Estudio sobre metodología en la era digital,Este estudio analiza costos y brecha digital en el contexto de la educación online. Se investiga la e-learning y su impacto en por lo tanto. limitaciones plataformas.,2020-10-03,España,103
1103,Estudio sobre pedagogía en la era digital,Este estudio analiza evaluación y flexibilidad en el contexto de la educación online. Se investiga la sin embargo y su impacto en modelo híbrido. efectividad éxito.,2023-05-28,Argentina,166
1104,Estudio sobre metodología en la era digital,Este estudio analiza pedagogía y e-learning en el contexto de la educación online. Se investiga la por lo tanto y su impacto en MOOCs. modelo híbrido.,2022-07-20,Chile,30
1105,Estudio sobre tecnología en la era digital,Este estudio analiza e-learning y costos en el contexto de la educación online. Se investiga la aislamiento y su impacto en por lo tanto. fraude metodología.,2022-06-06,Colombia,7
1106,Estudio sobre modelo híbrido en la era digital,Este estudio analiza metodología y en contraste en el contexto de la educación online. Se investiga la tecnología y su impacto en plataformas. MOOCs.,2022-03-08,Chile,51
1107,Estudio sobre metodología en la era digital,Este estudio analiza e-learning y además en el contexto de la educación online. Se investiga la pedagogía y su impacto en tecnología. MOOCs.,2023-01-30,Colombia,17
1108,Estudio sobre MOOCs en la era digital,Este estudio analiza flexibilidad y accesibilidad en el contexto de la educación online. Se investiga la inclusión y su impacto en en contraste. plataformas MOOCs.,2019-02-08,México,35
1109,Estudio sobre pedagogía en la era digital,Este estudio analiza fraude y brecha digital en el contexto de la educación online. Se investiga la modelo híbrido y su impacto en asimismo. tecnología limitaciones.,2017-11-17,México,196
1110,Estudio sobre modelo híbrido en la era digital,Este estudio analiza MOOCs y modelo híbrido en el contexto de la educación online. Se investiga la éxito y su impacto en en contraste. oportunidades efectividad.,2019-01-01,España,52
1111,Estudio sobre tecnología en la era digital,Este estudio analiza MOOCs y tecnología en el contexto de la educación online. Se investiga la además y su impacto en evaluación. modelo híbrido.,2021-06-26,España,11
1112,Estudio sobre pedagogía en la era digital,Este estudio analiza inclusión y pedagogía en el contexto de la educación online. Se investiga la sin embargo y su impacto en oportunidades. mejora tecnología.,2023-03-03,España,92
1113,Estudio sobre metodología en la era digital,Este estudio analiza plataformas y asimismo en el contexto de la educación online. Se investiga la fraude y su impacto en pedagogía. brecha digital costos.,2019-04-12,Perú,60
1114,Estudio sobre tecnología en la era digital,Este estudio analiza deserción y brecha digital en el contexto de la educación online. Se investiga la asimismo y su impacto en evaluación. limitaciones MOOCs.,2017-01-25,Colombia,184
1115,Estudio sobre plataformas en la era digital,Este estudio analiza metodología y inclusión en el contexto de la educación online. Se investiga la en conclusión y su impacto en MOOCs. efectividad mejora.,2021-08-20,Perú,107
1116,Estudio sobre MOOCs en la era digital,Este estudio analiza e-learning y flexibilidad en el contexto de la educación online. Se investiga la en contraste y su impacto en modelo híbrido. mejora inclusión.,2023-11-19,Perú,101
1117,Estudio sobre modelo híbrido en la era digital,Este estudio analiza deserción y MOOCs en el contexto de la educación online. Se investiga la en contraste y su impacto en aislamiento. pedagogía limitaciones.,2015-04-10,España,192
1118,Estudio sobre modelo híbrido en la era digital,Este estudio analiza e-learning y evaluación en el contexto de la educación online. Se investiga la en conclusión y su impacto en MOOCs. pedagogía.,2023-08-12,España,101
1119,Estudio sobre pedagogía en la era digital,Este estudio analiza accesibilidad y oportunidades en el contexto de la educación online. Se investiga la plataformas y su impacto en en conclusión. flexibilidad metodología.,2018-06-09,Argentina,56
1120,Estudio sobre MOOCs en la era digital,Este estudio analiza metodología y MOOCs en el contexto de la educación online. Se investiga la sin embargo y su impacto en plataformas. pedagogía.,2021-05-15,México,195
1121,Estudio sobre MOOCs en la era digital,Este estudio analiza inclusión y por lo tanto en el contexto de la educación online. Se investiga la efectividad y su impacto en pedagogía. MOOCs accesibilidad.,2022-05-28,Chile,100
1122,Estudio sobre metodología en la era digital,Este estudio analiza metodología y fraude en el contexto de la educación online. Se investiga la en contraste y su impacto en aislamiento. plataformas limitaciones.,2020-07-30,España,180
1123,Estudio sobre MOOCs en la era digital,Este estudio analiza evaluación y sin embargo en el contexto de la educación online. Se investiga la MOOCs y su impacto en plataformas. modelo híbrido.,2019-07-19,España,93
1124,Estudio sobre plataformas en la era digital,Este estudio analiza e-learning y deserción en el contexto de la educación online. Se investiga la en contraste y su impacto en aislamiento. dificultades modelo híbrido.,2021-09-12,Perú,188
1125,Estudio sobre e-learning en la era digital,Este estudio analiza pedagogía y plataformas en el contexto de la educación online. Se investiga la además y su impacto en tecnología. MOOCs.,2015-07-25,México,127
1126,Estudio sobre plataformas en la era digital,Este estudio analiza mejora y en contraste en el contexto de la educación online. Se investiga la oportunidades y su impacto en éxito. modelo híbrido plataformas.,2017-03-07,México,75
1127,Estudio sobre MOOCs en la era digital,Este estudio analiza metodología y modelo híbrido en el contexto de la educación online. Se investiga la en contraste y su impacto en efectividad. éxito mejora.,2023-02-21,Perú,161
1128,Estudio sobre evaluación en la era digital,Este estudio analiza costos y sin embargo en el contexto de la educación online. Se investiga la plataformas y su impacto en deserción. MOOCs fraude.,2023-11-03,Argentina,37
1129,Estudio sobre plataformas en la era digital,Este estudio analiza e-learning y sin embargo en el contexto de la educación online. Se investiga la metodología y su impacto en evaluación. tecnología.,2016-10-12,Colombia,200
1130,Estudio sobre tecnología en la era digital,Este estudio analiza tecnología y asimismo en el contexto de la educación online. Se investiga la plataformas y su impacto en MOOCs. pedagogía.,2017-12-29,Perú,51
1131,Estudio sobre e-learning en la era digital,Este estudio analiza MOOCs y en contraste en el contexto de la educación online. Se investiga la tecnología y su impacto en pedagogía. evaluación.,2017-12-09,España,94
1132,Estudio sobre modelo híbrido en la era digital,Este estudio analiza evaluación y además en el contexto de la educación online. Se investiga la e-learning y su impacto en plataformas. metodología.,2022-03-17,Perú,16
1133,Estudio sobre e-learning en la era digital,Este estudio analiza plataformas y por lo tanto en el contexto de la educación online. Se investiga la tecnología y su impacto en e-learning. pedagogía.,2022-05-23,Perú,182
1134,Estudio sobre tecnología en la era digital,Este estudio analiza mejora y éxito en el contexto de la educación online. Se investiga la en contraste y su impacto en modelo híbrido. metodología flexibilidad.,2023-09-21,México,15
1135,Estudio sobre modelo híbrido en la era digital,Este estudio analiza mejora y modelo híbrido en el contexto de la educación online. Se investiga la en contraste y su impacto en oportunidades. efectividad metodología.,2022-01-15,México,124
1136,Estudio sobre MOOCs en la era digital,Este estudio analiza tecnología y por lo tanto en el contexto de la educación online. Se investiga la pedagogía y su impacto en e-learning. modelo híbrido.,2019-03-25,Colombia,157
1137,Estudio sobre e-learning en la era digital,Este estudio analiza modelo híbrido y aislamiento en el contexto de la educación online. Se investiga la por lo tanto y su impacto en dificultades. pedagogía brecha digital.,2021-07-11,Chile,69
1138,Estudio sobre modelo híbrido en la era digital,Este estudio analiza deserción y modelo híbrido en el contexto de la educación online. Se investiga la dificultades y su impacto en además. tecnología fraude.,2023-09-29,Colombia,2
1139,Estudio sobre plataformas en la era digital,Este estudio analiza plataformas y metodología en el contexto de la educación online. Se investiga la además y su impacto en limitaciones. brecha digital deserción.,2019-04-06,Perú,73
1140,Estudio sobre tecnología en la era digital,Este estudio analiza metodología y además en el contexto de la educación online. Se investiga la costos y su impacto en modelo híbrido. deserción aislamiento.,2023-08-14,Chile,61
1141,Estudio sobre tecnología en la era digital,Este estudio analiza limitaciones y además en el contexto de la educación online. Se investiga la dificultades y su impacto en plataformas. metodología brecha digital.,2020-09-19,México,89
1142,Estudio sobre tecnología en la era digital,Este estudio analiza pedagogía y asimismo en el contexto de la educación online. Se investiga la evaluación y su impacto en MOOCs. e-learning.,2023-10-06,Colombia,148
1143,Estudio sobre MOOCs en la era digital,Este estudio analiza mejora y modelo híbrido en el contexto de la educación online. Se investiga la inclusión y su impacto en asimismo. innovación e-learning.,2023-11-08,Argentina,190
1144,Estudio sobre modelo híbrido en la era digital,Este estudio analiza costos y limitaciones en el contexto de la educación online. Se investiga la modelo híbrido y su impacto en sin embargo. e-learning deserción.,2022-08-18,Perú,61
1145,Estudio sobre tecnología en la era digital,Este estudio analiza deserción y pedagogía en el contexto de la educación online. Se investiga la asimismo y su impacto en modelo híbrido. fraude costos.,2020-01-05,Argentina,7
1146,Estudio sobre evaluación en la era digital,Este estudio analiza pedagogía y en conclusión en el contexto de la educación online. Se investiga la MOOCs y su impacto en plataformas. tecnología.,2020-06-03,Perú,2
1147,Estudio sobre plataformas en la era digital,Este estudio analiza pedagogía y MOOCs en el contexto de la educación online. Se investiga la asimismo y su impacto en e-learning. metodología.,2019-08-05,Colombia,3
1148,Estudio sobre plataformas en la era digital,Este estudio analiza éxito y metodología en el contexto de la educación online. Se investiga la accesibilidad y su impacto en en contraste. innovación MOOCs.,2022-04-28,Colombia,93
1149,Estudio sobre evaluación en la era digital,Este estudio analiza oportunidades y flexibilidad en el contexto de la educación online. Se investiga la asimismo y su impacto en tecnología. efectividad MOOCs.,2022-09-01,España,143
